2,1675434,8
7,1220198,10
13,2258858,8
15,1843866,8
19,109830,8
20,1300854,6
20,2194499,8
21,1187043,10
25,1790864,9
28,1690953,7
29,98253,8
29,289944,7
29,451094,7
29,1259014,7
29,2172935,7
32,87544,7
32,1727388,8
34,1408101,9
35,48947,8
35,1343092,7
36,109830,10
36,1403865,9
38,790636,9
38,1645170,8
38,2872718,8
39,758758,6
39,2082197,5
45,37017,7
45,61735,9
45,104466,9
45,371772,9
45,1032825,7
45,1714915,8
45,2023587,4
45,2267998,8
45,2520394,8
48,1267297,4
50,1528071,4
51,83658,10
51,1663662,8
57,181689,9
57,1027718,7
57,1343727,5
57,1535108,8
57,1663662,6
57,1855325,7
57,2330866,8
62,363547,9
62,1204975,8
62,1535109,8
62,1981115,8
62,2473682,7
64,2024544,7
67,800369,8
67,1351685,8
67,1591095,6
67,1905041,8
70,70047,9
72,71360,9
72,118715,10
72,381681,1
72,948470,6
72,1201607,8
72,1423995,8
72,1535109,7
72,1817273,8
72,2140373,8
72,2326612,5
77,73486,9
77,2245084,10
79,111161,10
79,816692,9
79,1430132,8
79,1877832,8
79,3477734,3
84,844479,7
89,48673,10
90,1211956,7
94,1764651,5
98,371746,7
98,860906,7
98,1465487,7
98,1979320,8
101,1033575,7
102,816711,8
103,1213663,6
103,1726592,6
103,2023587,6
103,2278388,9
104,2338151,10
106,1234654,5
106,1535108,6
106,1821549,8
106,2017038,8
106,2304426,9
107,1587310,8
114,1430132,10
117,361862,9
117,1706620,10
123,1229340,1
125,120915,10
125,418279,10
125,1300854,10
125,2114461,10
128,770828,7
132,2402157,7
134,1100089,6
134,1956620,5
135,1808240,1
139,1872181,10
141,790636,7
142,1905041,8
143,816711,8
143,1321511,7
143,1646971,8
143,1985966,5
143,2404463,5
148,1951264,10
153,1478338,8
158,56993,6
158,993846,9
158,1392170,6
158,1599348,4
158,1951261,7
158,2388715,6
159,2024544,8
164,111161,10
164,1045658,9
166,2234155,8
171,332452,10
177,162222,8
179,1853728,8
180,1454468,9
180,1939659,7
180,2234155,6
181,1924429,8
183,816711,3
184,1132620,8
189,1306980,7
192,379725,8
193,2652092,7
197,111686,10
200,1446714,7
201,83907,10
205,2278871,8
207,1024648,9
209,1798709,8
214,1091191,8
214,1535109,8
214,1905041,8
214,2096672,6
216,1951261,4
219,1966604,8
220,2302755,5
228,1397280,1
232,2053463,8
233,1535108,7
233,2097307,5
240,1690953,10
243,1124035,7
246,435651,8
253,74777,7
257,1216475,8
259,2170299,10
262,278504,7
262,1300851,7
264,1490017,7
267,1454468,10
267,2431286,10
268,1645155,4
270,816442,6
271,76227,7
271,110632,7
271,494222,8
271,1764651,7
273,2302755,9
276,62512,10
276,101316,10
276,204313,10
276,375679,10
276,480249,10
276,1596753,10
277,1253863,8
283,102138,9
283,338564,9
283,762073,7
283,1305806,9
283,1535109,8
283,1821694,7
283,2053463,8
283,2375605,5
284,816711,7
284,1535108,7
286,1625346,1
288,2179116,7
289,1091191,7
